ID,Gender,Gender_num,City,Recruiter,Cluster_ID,step_avg_prepost,group_num,treat_positive,treat_negative,time_post,Compliance,num_read_emails,weight,age,used_ctr_before,activity_level,activity_level_num
39,F,0,Austin,Lisa,47,5550,1,1,0,1,1,4,126,28,1,H,2
40,M,1,Washington D.C.,Lisa,45,8513,0,0,0,1,0,0,145,26,0,M,1
41,F,0,Los Angeles,Lisa,42,7446,1,1,0,1,1,4,118,28,1,T,3
42,M,1,Montreal,Hyera,23,5013,1,1,0,1,1,4,185,27,1,M,1
43,F,0,Montreal,Hyera,29,5992,2,0,1,1,1,1,140,39,1,M,1
44,M,1,Loma Linda,Lisa,45,4951,0,0,0,1,0,0,150,23,1,H,2
45,M,1,Toronto,Hyera,21,5757,1,1,0,1,1,3,162,28,0,T,3
46,F,0,San Francisco,Lisa,56,5923,0,0,0,1,1,4,120,29,0,M,1
47,M,1,Vancouver,Hyera,18,4846,1,1,0,1,1,4,187,47,0,M,1
48,M,1,Toronto,Hyera,3,5784,0,0,0,1,1,1,180,40,1,H,2
49,F,0,Washington D.C.,Lisa,59,5523,0,0,0,1,0,0,135,24,1,M,1
50,F,0,Loma Linda,Lisa,54,2883,2,0,1,1,1,3,160,27,0,H,2
51,F,0,Montreal,Hyera,2,5826,1,1,0,1,1,4,150,36,1,M,1
52,F,0,Berkeley,Giles,101,5412,1,1,0,1,1,3,157,34,1,M,1
53,F,0,Montreal,Hyera,6,4895,2,0,1,1,1,4,143,32,0,M,1
54,F,0,Montreal,Hyera,7,4798,2,0,1,1,1,4,112,36,0,L,0
55,F,0,Vancouver,Hyera,26,5137,1,1,0,1,1,3,139,34,1,H,2
56,F,0,Mountain View,Giles,100,3947,2,0,1,1,1,2,120,29,0,M,1
57,M,1,Berrien Springs,Lisa,49,5145,0,0,0,1,1,4,265,31,1,M,1
58,M,1,Pasadena,Lisa,51,4862,1,1,0,1,0,0,187,25,1,M,1
59,F,0,Minneapolis,Lisa,32,4806,2,0,1,1,1,4,160,29,1,M,1
60,M,1,Seattle,Lisa,40,4385,2,0,1,1,1,4,210,34,0,M,1
61,M,1,San Francisco,Giles,100,4553,2,0,1,1,1,3,175,25,0,M,1
62,M,1,Portland,Giles,107,4291,2,0,1,1,1,4,185,32,1,M,1
63,F,0,Loma Linda,Lisa,57,4077,0,0,0,1,1,1,225,57,1,M,1
64,M,1,New York,Hyera,12,3765,0,0,0,1,1,2,160,31,1,H,2
65,M,1,San Francisco,Giles,105,3890,2,0,1,1,1,1,215,50,1,M,1
66,M,1,San Francisco,Lisa,30,3732,0,0,0,1,1,3,195,46,1,L,0
67,M,1,Palo Alto,Giles,110,3211,2,0,1,1,1,4,160,20,0,H,2
68,F,0,Portland,Lisa,53,3908,2,0,1,1,1,1,140,30,0,M,1
69,F,0,Montreal,Hyera,1,3318,0,0,0,1,1,2,180,34,1,L,0
70,F,0,Montreal,Hyera,7,4063,2,0,1,1,1,1,120,30,0,M,1
71,F,0,Vancouver,Hyera,4,3252,2,0,1,1,1,3,120,35,0,H,2
72,F,0,Washington D.C.,Giles,109,3020,2,0,1,1,1,4,130,25,1,L,0
73,F,0,Chattanooga,Lisa,44,2843,0,0,0,1,1,1,150,28,1,L,0
74,F,0,Sacramento,Lisa,43,3215,0,0,0,1,1,3,320,34,1,L,0
75,F,0,San Mateo,Giles,106,2482,1,1,0,1,1,1,140,39,1,M,1
76,F,0,Birmingham,Lisa,33,3294,2,0,1,1,1,4,139,26,1,H,2
77,M,1,San Mateo,Giles,102,2459,1,1,0,1,1,3,155,25,1,H,2
78,F,0,Fresno,Lisa,39,2534,2,0,1,1,0,0,125,31,1,M,1
79,F,0,San Francisco,Hyera,28,1572,2,0,1,1,1,3,160,29,1,M,1
80,F,0,Loma Linda,Lisa,58,2337,1,1,0,1,0,0,130,55,0,L,0
81,F,0,Berrien Springs,Lisa,49,2117,0,0,0,1,1,4,195,28,0,M,1
82,F,0,Toronto,Hyera,3,1555,0,0,0,1,1,4,115,34,0,L,0
83,F,0,Palo Alto,Lisa,52,1690,1,1,0,1,1,4,120,27,0,M,1
84,F,0,Washington D.C.,Hyera,17,231,0,0,0,1,1,4,148,52,0,M,1
